,,,,,,,,Number of Days with Maximum 8-Hour Ozone Average > 75 ppb,,,,,,,,,,,,,,,,,
Shenandoah National Park,Dickey Ridge,SHEN-DR,6,11,12,12,2,5,6,,,,,,,,,,,,,,,,
Shenandoah National Park,Sawmill Run,SHEN-SR,6,1,7,4,2,9,3,,,,,,,,,,,,,,,,
Voyageurs National Park,Near Black Bay,VOYA-BB,1,,,,,,,1,,,,,,,,,,,,,,,
Voyageurs National Park,Sullivan Bay,VOYA-SB,5,,,,,,,,,2,1,2,1,,,,,2,,,,,
Wind Cave National Park,Visitor Center,WICA-VC,2,,,,,,,,,,,,,,,,,1,2,,,,
Yellowstone National Park,Water Tank,YELL-WT,3,,,,,,,,,,,1,,,,,,,1,,,1,
Yosemite National Park,Camp Mather,YOSE-CM,8,2,2,4,2,7,14,7,8,,,,,,,,,,,,,,
Yosemite National Park,Merced River,YOSE-MR,1,,,,,,,,,,,,,,1,,,,,,,,
Yosemite National Park,Turtleback Dome,YOSE-TD,20,,8,61,21,,48,32,40,9,26,29,28,22,63,43,37,16,27,27,30,9,7
Yosemite National Park,Wawona Valley,YOSE-WV,8,14,45,10,23,8,5,13,16,,,,,,,,,,,,,,
Yosemite National Park,Yosemite Valley,YOSE-YV,4,,8,,2,5,6,,,,,,,,,,,,,,,,
Zion National Park,Dalton's Wash,ZION-DW,6,,,,,,,,,,,,,,,,3,8,1,2,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
*  Only parks with monitors that recorded exceedances are listed.,,,,,,,Category,,,,,Exceedances / year,,,,,,,,,,,,,
,,,,,,,No data or no exceedances,,,,,0,,,,,,,,,,,,,
"The current National Ambient Air Quality Standard (NAAQS) is 75 ppb, daily maximum 8-hour average. An exceedance occurs when the daily maximum 8-hour average is greater than 75 ppb.  In 1997 the National Ambient Air Quality Standard for ozone changed from 85 ppb to 75 ppb.",,,,,,,Moderate,,,,,1-3,,,,,,,,,,,,,
,,,,,,,Serious,,,,,4-29,,,,,,,,,,,,,
,,,,,,,Severe,,,,,30 +,,,,,,,,,,,,,
,,,,,,,"Informational, not an EPA designation",,,,,,,,,,,,,,,,,,
